# Motor's data
#time	X	Xenc	Vx	Y	Yenc	Vy
Send short command
  21465.39	224314	33057240	-57961.9	310085	42028722	-58128.5
  21536.38	220049	33057240	-60078.0	305823	41958020	-60035.7
  21606.16	215804	33057240	-60833.3	301577	41886742	-60847.7
  21677.40	211651	33057240	-58303.2	297398	41851757	-58668.2
  21748.36	207418	33057240	-59644.9	293193	41780888	-59250.3
  21820.37	203177	33057240	-58893.0	288926	41710378	-59254.1
  21892.39	198885	33057240	-59592.9	284623	41639413	-59745.7
  21962.35	194595	33057240	-61321.7	280359	41568240	-60950.1
  22034.40	190417	33057240	-57988.2	276196	41498263	-57780.0
  22106.38	186118	33057240	-59723.3	271865	41426639	-60167.9
  22177.37	181833	33057240	-60368.2	267603	41391722	-60044.2
  22249.38	177612	33057240	-58614.3	263362	41320779	-58892.0
  22320.40	173309	33057240	-60587.8	259057	41249716	-60616.0
  22391.14	169100	33057240	-59500.4	254840	41179597	-59613.5
  22463.23	164870	33057240	-58675.8	250609	41108006	-58689.6
  22532.89	160578	33057240	-61613.6	246325	41037724	-61498.8
  22602.89	156422	33057240	-59373.1	242145	41002089	-59716.0
  22674.88	152226	33057240	-58289.9	238000	40931214	-57581.4
  22744.64	147930	33057240	-61572.0	233699	40860866	-61643.6
  22815.62	143783	33057240	-58434.9	229552	40789182	-58434.9
  22886.62	139535	33057240	-59827.7	225306	40719211	-59799.5
  22958.62	135328	33057240	-58426.5	221097	40683165	-58454.2
  23030.64	131033	33057240	-59642.9	216801	40612638	-59656.8
  23102.47	126725	33057240	-59973.1	212499	40542177	-59889.6
  23174.52	122466	33057240	-59112.6	208210	40470560	-59529.0
  23244.52	118136	33057240	-61855.3	203915	40400739	-61355.3
  23314.52	114010	33057240	-58936.1	199754	40329899	-59436.0
  23386.56	109816	33057240	-58223.4	195589	40294238	-57820.8
  23456.55	105521	33057240	-61363.3	191289	40223595	-61434.7
  23527.53	101356	33057240	-58675.3	187126	40152087	-58647.1
  23597.51	97130	33057240	-60394.7	182963	40082112	-59494.4
  23668.53	92936	33057240	-59053.7	178758	40011123	-59208.6
  23739.52	88709	33057240	-59551.9	174475	39939518	-60340.9
  23809.39	84489	33057240	-60385.9	170241	39904730	-60586.3
  23879.52	80315	33057240	-59516.3	166145	39833693	-58404.1
  23950.37	76118	33057240	-59246.1	161890	39763522	-60064.8
  24021.56	71921	33057240	-58955.0	157723	39692341	-58533.6
  24092.41	67677	33057240	-59902.9	153457	39621040	-60213.4
  24162.36	63423	33057240	-60809.6	149195	39585914	-60924.0
  24233.40	59287	33057240	-58219.8	145108	39515260	-57530.1
  24304.39	55037	33057240	-59862.7	140807	39444968	-60581.0
  24375.41	50866	33057240	-58729.8	136629	39373730	-58828.4
  24445.27	46821	33057240	-57901.5	132337	39302707	-61437.2
  24516.41	42989	33057240	-53867.2	128237	39267360	-57634.5
  24586.29	39273	33057240	-53180.7	123961	39196956	-61195.0
  24656.37	35810	33057240	-49414.3	119821	39126495	-59074.5
  24727.44	32464	33057240	-47080.4	115652	39054998	-58660.5
  24798.30	29237	33057240	-45540.4	111353	38984040	-60668.8
  24868.27	26217	33057240	-43162.0	107167	38914545	-59826.5
  24937.30	23370	33057240	-41239.9	103023	38878374	-60027.5
  25006.29	20697	33057240	-38744.2	98899	38807968	-59776.0
  25075.42	18231	33057240	-35673.9	94773	38736609	-59688.0
  25146.43	15951	33057240	-32110.9	90641	38665667	-58194.0
  25215.39	13709	33057240	-32508.8	86455	38630251	-60696.7
  25284.41	11683	33057240	-29352.1	82338	38559921	-59645.8
  25354.33	9862	33057240	-26046.7	78215	38489376	-58973.4
  25424.41	8139	33057240	-24587.6	74059	38417898	-59307.0
  25493.44	6577	33057240	-22625.5	69870	38347238	-60677.4
  25563.43	5198	33057240	-19701.7	65752	38311350	-58833.6
  25632.47	3968	33057240	-17817.1	61579	38241650	-60447.8
  25702.44	2920	33057240	-14977.8	57475	38170479	-58653.6
  25772.42	2019	33057240	-12873.5	53306	38099165	-59566.5
  25841.44	1282	33057240	-10679.3	49139	38028924	-60380.9
  25908.49	715	33057240	-8457.5	45069	37992837	-60709.0
  25978.43	317	33057240	-5689.7	41014	37922920	-57969.3
  26046.42	52	33057240	-3897.5	37005	37852774	-58961.8
  26114.46	11	33057240	-602.6	33219	37786211	-55645.4
  26181.42	10	33057240	-14.9	29638	37755569	-53477.3
  26250.45	8	33057240	-29.0	26314	37694617	-48160.6
  26317.46	0	33057240	-119.4	23132	37638936	-47477.7
  26383.40	0	33057240	0.0	20198	37612621	-44500.4
  26450.46	0	33057240	0.0	17539	37562913	-39647.5
  26517.49	0	33057240	0.0	14998	37517006	-37910.6
  26585.46	0	33057240	0.0	12644	37475088	-34633.5
  26651.45	0	33057240	0.0	10454	37455790	-33188.3
  26718.31	0	33057240	0.0	8532	37420115	-28744.9
  26784.44	0	33057240	0.0	6783	37388019	-26446.3
  26853.42	0	33057240	0.0	5241	37360557	-22355.6
  26921.30	0	33057240	0.0	3878	37348346	-20079.9
  26987.34	0	33057240	0.0	2728	37327218	-17414.2
  27054.36	0	33057240	0.0	1798	37310184	-13875.0
  27121.32	0	33057240	0.0	1043	37303173	-11275.1
  27187.43	0	33057240	0.0	492	37292118	-8334.6
  27252.47	0	33057240	0.0	145	37285086	-5335.5
  27319.49	0	33057240	0.0	9	37282145	-2029.3
  27387.32	0	33057240	0.0	10	37282191	14.7
  27454.45	0	33057240	0.0	8	37282196	-29.8
  27520.46	0	33057240	0.0	0	37282182	-121.2
  27586.48	0	33057240	0.0	0	37282177	0.0
  27652.48	0	33057240	0.0	0	37282168	0.0
  27718.50	0	33057240	0.0	0	37282170	0.0
Stop motors
  27960.49	0	33057240	0.0	0	37282175	0.0
  28026.49	0	33057240	0.0	0	37282174	0.0
